user_ID,route_ID,Your Stars
112247567,114149484,4
112247567,114064300,-1
112247567,114012413,2
112247567,114012359,2
112247567,114158727,3
112247567,114028771,3
112247567,105762150,3
112247567,114195083,2
112247567,117133577,2
112247567,114012282,3
112247567,114158750,3
112247567,105763914,1
112247567,105761481,2
112247567,105750850,2
112247567,105750853,1
112247567,105750451,2
112247567,105753163,2
112247567,107425758,2
112247567,105753160,2
112247567,105757987,2
112247567,105753133,2
112247567,105748600,2
112247567,106991229,-1
112247567,106387449,2
112247567,105748220,2
112247567,105748217,2
112247567,105748047,3
112247567,105748256,2
112247567,105748232,2
112247567,105748250,2
112247567,105758916,1
112247567,105748229,3
112247567,105753670,2
112247567,105748214,2
112247567,105748211,2
112247567,112087135,3
112247567,105748178,3
112247567,105748184,1
112247567,107865536,1
112247567,107854497,3
112247567,106859149,2
112247567,105933938,2
112247567,105933907,2
112247567,105935178,1
112247567,105758116,2
112247567,105757414,3
112247567,105750520,3
112247567,105748385,3
112247567,105748373,1
112247567,105748412,3
112247567,105759351,3
112247567,105764985,3
112247567,105758901,2
112247567,105756400,3
112247567,106226356,2
112247567,105756691,2
112247567,105756790,3
112247567,105996018,1
112247567,105957789,2
112247567,105983024,2
112247567,105975428,3
112247567,108151365,4
112247567,109209914,3
112247567,108152226,2
112247567,108152210,3
112247567,111984595,3
112247567,107750840,2
112247567,106237246,2
112247567,105749341,2
112247567,105749341,2
112247567,105748505,3
112247567,114547132,4
112247567,114807519,3
112247567,106524927,3
112247567,106564985,2
112247567,106564976,2
112247567,106564989,2
112247567,106571828,2
112247567,108236884,3
112247567,105749770,4
112247567,105839969,-1
112247567,105760851,-1
112247567,105760950,-1
112247567,105755719,2
112247567,107199753,3
112247567,105763083,3
112247567,107729442,1
112247567,105754666,3
112247567,105749878,2
112247567,118741072,2
112247567,114296096,2
112247567,105749875,2
112247567,114296091,2
112247567,108508491,2
112247567,119069766,3
112247567,108508661,2
112247567,112480343,3
112247567,112480387,2
112247567,107006808,3
112247567,105748744,3
112247567,105756784,3
112247567,105756784,3
112247567,105748093,3
112247567,105748963,3
112247567,113386667,-1
112247567,113386836,3
112247567,113386864,2
112247567,113383551,-1
112247567,113462108,-1
112247567,113383492,-1
112247567,113383362,-1
112247567,105748244,-1
112247567,105748253,3
112247567,105762975,3
112247567,105749284,3
112247567,105749689,3
112247567,105751525,2
112247567,105751960,3
112247567,106438889,3
112247567,114783889,2
112247567,106439084,-1
112247567,106438934,2
112247567,106438938,2
112247567,114442350,2
112247567,106998070,2
112247567,106438916,3
112247567,106050176,-1
112247567,105748026,-1
112247567,105762801,-1
112247567,106466173,-1
112247567,105751756,3
112247567,105764079,3
112247567,105763197,2
112247567,105750940,3
112247567,106029592,-1
112247567,106028524,-1
112247567,105751579,2
112247567,105751756,3
112247567,105749461,3
112247567,105748011,3
112247567,105748008,2
112247567,105761271,3
112247567,105761274,3
112247567,105760935,2
112247567,105761367,1
112247567,105761295,3
112247567,105758257,3
112247567,105839886,3
112247567,108242308,3
112247567,111984595,3
112247567,108152210,3
112247567,108152226,2
112247567,105764544,2
112247567,105757942,1
112247567,105764343,1
112247567,105761349,1
112247567,105754129,3
112247567,105758062,3
112247567,105761361,1
112247567,105758257,3
112247567,105756532,2
112247567,105756535,2
112247567,105760608,1
112247567,105862660,3
112247567,105761322,2
112247567,105761274,3
112247567,105761271,3
112247567,105761340,2
112247567,105750076,2
112247567,105761322,2
112247567,105761262,2
112247567,105761364,2
112247567,105757393,2
112247567,105764229,2
112247567,105756730,2
112247567,105761334,2
112247567,105761274,3
112247567,105761271,3
112247567,105764151,2
112247567,105759738,2
112247567,105748079,2
112247567,105748102,2
112247567,105748099,2
112247567,109792919,2
112247567,106332507,2
112247567,112417079,2
112247567,116677804,2
112247567,109787006,2
112247567,105748253,3
112247567,105761343,2
112247567,105761337,2
112247567,105761334,2
112247567,105761340,2
112247567,107072848,3
112247567,105969725,2
112247567,106349236,3
112247567,106160862,2
112247567,108290711,2
112247567,105749929,1
112247567,105749923,2
112247567,105812408,3
112247567,105755704,3
112247567,105752881,2
112247567,106976790,2
112247567,106370830,3
112247567,120255673,2
112247567,105760929,2
112247567,105761223,3
112247567,105761226,2
112247567,112557064,3
112247567,112557064,3
112247567,105748702,3
112247567,105749920,2
112247567,105748699,3
112247567,105748699,3
112247567,107227969,2
112247567,105749122,3
112247567,105749122,3
112247567,105758059,3
112247567,105758952,3
112247567,105748648,-1
112247567,105804746,2
112247567,105750565,3
112247567,106506935,2
112247567,106210078,-1
112247567,106210224,3
112247567,106273826,1
112247567,105748005,3
112247567,105748011,3
112247567,105760656,3
112247567,105762816,2
112247567,105764685,1
112247567,105748208,2
112247567,105748217,2
112247567,105754594,2
112247567,106387449,2
112247567,106255900,2
112247567,105756478,3
112247567,105760878,2
112247567,106834761,3
112247567,114335819,2
112247567,113567793,2
112247567,113568821,2
112247567,113568742,2
112247567,111904675,2
112247567,113259130,2
112247567,105761451,2
112247567,105755662,2
112247567,105761484,2
112247567,118744584,1
112247567,105761481,2
112247567,106113458,2
112247567,106110630,3
112247567,106121979,2
112247567,106109550,2
112247567,105753067,3
112247567,106873391,2
112247567,105761445,2
112247567,105759696,2
112247567,107345189,2
112247567,106765885,2
112247567,106363085,2
112247567,106362564,2
112247567,105752587,3
112247567,105753076,4
112247567,105752626,1
112247567,105762123,1
112247567,105752206,3
112247567,106374431,3
112247567,105751639,3
112247567,105749401,2
112247567,105749398,2
112247567,105752605,-1
112247567,105749464,-1
112247567,105753661,-1
112247567,105750859,2
112247567,105750862,2
112247567,105750856,2
112247567,105759243,3
112247567,105761529,3
112247567,105752119,2
112247567,106569920,3
112247567,111871724,2
112247567,106387449,2
112247567,105754594,2
112247567,105748367,2
112247567,105748385,3
112247567,105748418,3
112247567,105748412,3
112247567,114012282,3
112247567,114036204,2
112247567,105749812,2
112247567,105748600,2
112247567,105754594,2
112247567,111871724,2
112247567,105755989,3
112247567,109677518,2
112247567,109677508,2
112247567,109677498,2
112247567,106119076,2
112247567,106118649,2
112247567,105749167,3
112247567,105764985,3
112247567,105758940,2
112247567,105756937,2
112247567,105758901,2
112247567,105756400,3
112247567,108508661,2
112247567,108508491,2
112247567,119069766,3
112247567,105748744,3
112247567,105749878,2
112247567,107006808,3
112247567,112480387,2
112247567,112480343,3
112247567,114012313,3
112247567,114028771,3
112247567,114012513,3
112247567,114012359,2
112247567,116677804,2
112247567,109949565,2
112247567,109949393,2
112247567,109949380,1
112247567,105749167,3
112247567,115391614,4
112247567,109783194,2
112247567,109949406,2
112247567,109949393,2
112247567,109783194,2
112247567,107335718,2
112247567,107175525,2
112247567,107152243,2
112247567,115378226,1
112247567,105748178,3
112247567,106379180,2
112247567,106684564,2
112247567,105748208,2
112247567,105748217,2
112247567,105748220,2
112247567,105753190,3
112247567,106144580,2
112247567,105867779,2
112247567,106235843,3
112247567,105867792,1
112247567,105882287,1
112247567,105860223,0
112247567,105872818,4
112247567,106958759,3
112247567,106940483,2
112247567,106940363,2
112247567,106940388,2
112247567,106940412,2
112247567,107247009,3
112247567,107148620,2
112247567,105749458,2
112247567,105748292,3
112247567,106038630,1
112247567,105748286,2
112247567,107256918,1
112247567,105748271,3
112247567,105748894,2
112247567,105748247,-1
112247567,105748247,-1
